epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,374.878,0.92551,2.24888,1.24688,1.44607,0.80941,0.71088,0.76069,0.46054,0.75905,0.66149,0.67506,0.35825,1.42547,3.20384,1.30386,2.1751,0.0011884,0.0011884,0.0011884
31,388.555,0.8849,2.14266,1.23221,1.41122,0.74265,0.76208,0.75477,0.50344,0.76993,0.62782,0.66197,0.40285,1.33948,3.09306,1.36687,2.08693,0.0011719,0.0011719,0.0011719
32,401.833,0.85814,2.09927,1.20224,1.39378,0.72211,0.77658,0.76303,0.49686,0.7196,0.69793,0.70698,0.40297,1.31027,3.09188,1.2934,2.00147,0.0011554,0.0011554,0.0011554
33,415.067,0.86699,2.11817,1.15895,1.39061,0.79773,0.7907,0.7957,0.50125,0.80087,0.7006,0.71112,0.36953,1.2729,3.06962,1.32721,1.99248,0.00113889,0.00113889,0.00113889
34,428.243,0.88901,2.0818,1.18558,1.40584,0.68807,0.6488,0.74899,0.4707,0.75231,0.57841,0.73023,0.38508,1.35777,3.02601,1.57801,2.16122,0.00112239,0.00112239,0.00112239
35,441.453,0.90997,2.25059,1.21766,1.41044,0.77565,0.73577,0.77823,0.50843,0.73673,0.70516,0.73311,0.41432,1.28758,3.16952,1.48695,2.04615,0.00110589,0.00110589,0.00110589
36,454.831,0.81797,1.97016,1.15752,1.35772,0.72396,0.62494,0.72109,0.4339,0.72396,0.62494,0.68606,0.35801,1.56251,3.13567,1.75194,2.34001,0.00108938,0.00108938,0.00108938
37,468.233,0.85589,2.08973,1.18692,1.38919,0.819,0.73924,0.77361,0.50157,0.73062,0.6567,0.6527,0.37752,1.45792,3.04926,1.31996,2.14719,0.00107288,0.00107288,0.00107288
38,481.488,0.78782,1.99954,1.17158,1.33059,0.8416,0.78975,0.80697,0.52837,0.81653,0.76934,0.76261,0.44093,1.31002,2.93073,1.257,2.02001,0.00105638,0.00105638,0.00105638
39,494.687,0.82339,1.96396,1.10267,1.35018,0.83477,0.70945,0.77887,0.52277,0.80922,0.68904,0.73237,0.42045,1.35693,3.26306,1.22891,2.26646,0.00103987,0.00103987,0.00103987
40,508.212,0.79504,1.98442,1.0655,1.34706,0.82089,0.74682,0.78359,0.54757,0.79449,0.72488,0.74752,0.4686,1.23105,2.82413,1.20949,2.02857,0.00102337,0.00102337,0.00102337
41,521.689,0.79918,1.93883,1.13761,1.34659,0.77263,0.79799,0.82646,0.56722,0.77649,0.75347,0.76706,0.47008,1.24327,2.93785,1.14198,1.8811,0.00100687,0.00100687,0.00100687
